:ID,name,:LABEL
UBERON:0000002,uterine cervix,Anatomy
UBERON:0000004,nose,Anatomy
UBERON:0000006,islet of Langerhans,Anatomy
UBERON:0000007,pituitary gland,Anatomy
UBERON:0000010,peripheral nervous system,Anatomy
UBERON:0000011,parasympathetic nervous system,Anatomy
UBERON:0000013,sympathetic nervous system,Anatomy
UBERON:0000020,sense organ,Anatomy
UBERON:0000026,appendage,Anatomy
UBERON:0000029,lymph node,Anatomy
UBERON:0000033,head,Anatomy
UBERON:0000038,follicular fluid,Anatomy
UBERON:0000042,serous membrane,Anatomy
UBERON:0000043,tendon,Anatomy
UBERON:0000045,ganglion,Anatomy
UBERON:0000053,macula lutea,Anatomy
UBERON:0000054,macula,Anatomy
UBERON:0000056,ureter,Anatomy
UBERON:0000057,urethra,Anatomy
UBERON:0000165,mouth,Anatomy
UBERON:0000178,blood,Anatomy
UBERON:0000211,ligament,Anatomy
UBERON:0000473,testis,Anatomy
UBERON:0000474,female reproductive system,Anatomy
UBERON:0000482,basal lamina of epithelium,Anatomy
UBERON:0000483,epithelium,Anatomy
UBERON:0000922,embryo,Anatomy
UBERON:0000941,cranial nerve II,Anatomy
UBERON:0000946,cardial valve,Anatomy
UBERON:0000948,heart,Anatomy
UBERON:0000949,endocrine system,Anatomy
UBERON:0000955,brain,Anatomy
UBERON:0000959,optic chiasma,Anatomy
UBERON:0000964,cornea,Anatomy
UBERON:0000966,retina,Anatomy
UBERON:0000970,eye,Anatomy
UBERON:0000974,neck,Anatomy
UBERON:0000975,sternum,Anatomy
UBERON:0000977,pleura,Anatomy
UBERON:0000978,leg,Anatomy
UBERON:0000982,skeletal joint,Anatomy
UBERON:0000985,axillary vein,Anatomy
UBERON:0000988,pons,Anatomy
UBERON:0000989,penis,Anatomy
UBERON:0000991,gonad,Anatomy
UBERON:0000992,female gonad,Anatomy
UBERON:0000993,oviduct,Anatomy
UBERON:0000995,uterus,Anatomy
UBERON:0000996,vagina,Anatomy
UBERON:0000997,mammalian vulva,Anatomy
UBERON:0000998,seminal vesicle,Anatomy
UBERON:0000999,ejaculatory duct,Anatomy
UBERON:0001000,vas deferens,Anatomy
UBERON:0001003,skin epidermis,Anatomy
UBERON:0001004,respiratory system,Anatomy
UBERON:0001007,digestive system,Anatomy
UBERON:0001008,renal system,Anatomy
UBERON:0001011,hemolymph,Anatomy
UBERON:0001013,adipose tissue,Anatomy
UBERON:0001016,nervous system,Anatomy
UBERON:0001017,central nervous system,Anatomy
UBERON:0001021,nerve,Anatomy
UBERON:0001031,sheath of Schwann,Anatomy
UBERON:0001037,strand of hair,Anatomy
UBERON:0001044,saliva-secreting gland,Anatomy
UBERON:0001064,ventral pancreatic duct,Anatomy
UBERON:0001067,vertebral arch joint,Anatomy
UBERON:0001070,external carotid artery,Anatomy
UBERON:0001072,posterior vena cava,Anatomy
UBERON:0001088,urine,Anatomy
UBERON:0001089,sweat,Anatomy
UBERON:0001090,synovial fluid,Anatomy
UBERON:0001093,vertebral bone 2,Anatomy
UBERON:0001103,diaphragm,Anatomy
UBERON:0001105,clavicle bone,Anatomy
UBERON:0001111,intercostal muscle,Anatomy
UBERON:0001130,vertebral column,Anatomy
UBERON:0001132,parathyroid gland,Anatomy
UBERON:0001135,smooth muscle tissue,Anatomy
UBERON:0001140,renal vein,Anatomy
UBERON:0001143,hepatic vein,Anatomy
UBERON:0001148,median nerve,Anatomy
UBERON:0001174,common bile duct,Anatomy
UBERON:0001175,common hepatic duct,Anatomy
UBERON:0001182,superior mesenteric artery,Anatomy
UBERON:0001183,inferior mesenteric artery,Anatomy
UBERON:0001184,renal artery,Anatomy
UBERON:0001193,hepatic artery,Anatomy
UBERON:0001194,splenic artery,Anatomy
UBERON:0001224,renal pelvis,Anatomy
UBERON:0001225,cortex of kidney,Anatomy
UBERON:0001228,renal papilla,Anatomy
UBERON:0001231,nephron tubule,Anatomy
UBERON:0001232,collecting duct of renal tubule,Anatomy
UBERON:0001235,adrenal cortex,Anatomy
UBERON:0001236,adrenal medulla,Anatomy
UBERON:0001237,paraaortic body,Anatomy
UBERON:0001264,pancreas,Anatomy
UBERON:0001267,femoral nerve,Anatomy
UBERON:0001283,bile canaliculus,Anatomy
UBERON:0001285,nephron,Anatomy
UBERON:0001288,loop of Henle,Anatomy
UBERON:0001295,endometrium,Anatomy
UBERON:0001296,myometrium,Anatomy
UBERON:0001300,scrotum,Anatomy
UBERON:0001305,ovarian follicle,Anatomy
UBERON:0001310,umbilical artery,Anatomy
UBERON:0001322,sciatic nerve,Anatomy
UBERON:0001323,tibial nerve,Anatomy
UBERON:0001324,common fibular nerve,Anatomy
UBERON:0001343,seminiferous tubule of testis,Anatomy
UBERON:0001348,brown adipose tissue,Anatomy
UBERON:0001352,external acoustic meatus,Anatomy
UBERON:0001361,femoral vein,Anatomy
UBERON:0001365,sacro-iliac joint,Anatomy
UBERON:0001394,axillary artery,Anatomy
UBERON:0001398,brachial artery,Anatomy
UBERON:0001404,radial artery,Anatomy
UBERON:0001406,ulnar artery,Anatomy
UBERON:0001437,epiphysis,Anatomy
UBERON:0001456,face,Anatomy
UBERON:0001460,arm,Anatomy
UBERON:0001461,elbow,Anatomy
UBERON:0001463,manual digit 1,Anatomy
UBERON:0001464,hip,Anatomy
UBERON:0001465,knee,Anatomy
UBERON:0001467,shoulder,Anatomy
UBERON:0001469,sternoclavicular joint,Anatomy
UBERON:0001470,glenohumeral joint,Anatomy
UBERON:0001479,sesamoid bone,Anatomy
UBERON:0001484,articular capsule,Anatomy
UBERON:0001485,knee joint,Anatomy
UBERON:0001486,hip joint,Anatomy
UBERON:0001488,ankle joint,Anatomy
UBERON:0001490,elbow joint,Anatomy
UBERON:0001492,radial nerve,Anatomy
UBERON:0001494,ulnar nerve,Anatomy
UBERON:0001515,thoracic aorta,Anatomy
UBERON:0001516,abdominal aorta,Anatomy
UBERON:0001529,brachiocephalic artery,Anatomy
UBERON:0001530,common carotid artery plus branches,Anatomy
UBERON:0001532,internal carotid artery,Anatomy
UBERON:0001533,subclavian artery,Anatomy
UBERON:0001535,vertebral artery,Anatomy
UBERON:0001544,popliteal vein,Anatomy
UBERON:0001567,cheek,Anatomy
UBERON:0001577,facial muscle,Anatomy
UBERON:0001579,olfactory nerve,Anatomy
UBERON:0001585,anterior vena cava,Anatomy
UBERON:0001587,subclavian vein,Anatomy
UBERON:0001594,azygos vein,Anatomy
UBERON:0001597,masseter muscle,Anatomy
UBERON:0001598,temporalis muscle,Anatomy
UBERON:0001599,stapedius muscle,Anatomy
UBERON:0001600,tensor tympani,Anatomy
UBERON:0001616,maxillary artery,Anatomy
UBERON:0001619,ophthalmic artery,Anatomy
UBERON:0001620,central retinal artery,Anatomy
UBERON:0001624,anterior cerebral artery,Anatomy
UBERON:0001627,middle cerebral artery,Anatomy
UBERON:0001633,basilar artery,Anatomy
UBERON:0001636,posterior cerebral artery,Anatomy
UBERON:0001637,artery,Anatomy
UBERON:0001638,vein,Anatomy
UBERON:0001640,celiac artery,Anatomy
UBERON:0001643,oculomotor nerve,Anatomy
UBERON:0001644,trochlear nerve,Anatomy
UBERON:0001645,trigeminal nerve,Anatomy
UBERON:0001646,abducens nerve,Anatomy
UBERON:0001647,facial nerve,Anatomy
UBERON:0001648,vestibulocochlear nerve,Anatomy
UBERON:0001649,glossopharyngeal nerve,Anatomy
UBERON:0001650,hypoglossal nerve,Anatomy
UBERON:0001673,central retinal vein,Anatomy
UBERON:0001675,trigeminal ganglion,Anatomy
UBERON:0001676,occipital bone,Anatomy
UBERON:0001677,sphenoid bone,Anatomy
UBERON:0001678,temporal bone,Anatomy
UBERON:0001679,ethmoid bone,Anatomy
UBERON:0001681,nasal bone,Anatomy
UBERON:0001684,mandible,Anatomy
UBERON:0001685,hyoid bone,Anatomy
UBERON:0001687,stapes bone,Anatomy
UBERON:0001688,incus bone,Anatomy
UBERON:0001689,malleus bone,Anatomy
UBERON:0001690,ear,Anatomy
UBERON:0001691,external ear,Anatomy
UBERON:0001694,petrous part of temporal bone,Anatomy
UBERON:0001697,orbit of skull,Anatomy
UBERON:0001700,geniculate ganglion,Anatomy
UBERON:0001702,eyelash,Anatomy
UBERON:0001705,nail,Anatomy
UBERON:0001707,nasal cavity,Anatomy
UBERON:0001708,jaw skeleton,Anatomy
UBERON:0001710,lower jaw region,Anatomy
UBERON:0001711,eyelid,Anatomy
UBERON:0001716,secondary palate,Anatomy
UBERON:0001717,spinal nucleus of trigeminal nerve,Anatomy
UBERON:0001720,cochlear nucleus,Anatomy
UBERON:0001723,tongue,Anatomy
UBERON:0001724,sphenoidal sinus,Anatomy
UBERON:0001733,soft palate,Anatomy
UBERON:0001734,palatine uvula,Anatomy
UBERON:0001736,submandibular gland,Anatomy
UBERON:0001737,larynx,Anatomy
UBERON:0001744,lymphoid tissue,Anatomy
UBERON:0001750,lacrimal apparatus,Anatomy
UBERON:0001756,middle ear,Anatomy
UBERON:0001759,vagus nerve,Anatomy
UBERON:0001760,frontal sinus,Anatomy
UBERON:0001762,turbinate bone,Anatomy
UBERON:0001764,maxillary sinus,Anatomy
UBERON:0001768,uvea,Anatomy
UBERON:0001769,iris,Anatomy
UBERON:0001771,pupil,Anatomy
UBERON:0001772,corneal epithelium,Anatomy
UBERON:0001773,sclera,Anatomy
UBERON:0001775,ciliary body,Anatomy
UBERON:0001776,optic choroid,Anatomy
UBERON:0001777,substantia propria of cornea,Anatomy
UBERON:0001780,spinal nerve,Anatomy
UBERON:0001783,optic disc,Anatomy
UBERON:0001785,cranial nerve,Anatomy
UBERON:0001786,fovea centralis,Anatomy
UBERON:0001796,aqueous humor of eyeball,Anatomy
UBERON:0001805,autonomic ganglion,Anatomy
UBERON:0001814,brachial nerve plexus,Anatomy
UBERON:0001815,lumbosacral nerve plexus,Anatomy
UBERON:0001818,tarsal gland,Anatomy
UBERON:0001820,sweat gland,Anatomy
UBERON:0001821,sebaceous gland,Anatomy
UBERON:0001825,paranasal sinus,Anatomy
UBERON:0001827,secretion of lacrimal gland,Anatomy
UBERON:0001831,parotid gland,Anatomy
UBERON:0001832,sublingual gland,Anatomy
UBERON:0001833,lip,Anatomy
UBERON:0001836,saliva,Anatomy
UBERON:0001837,duct of salivary gland,Anatomy
UBERON:0001840,semicircular canal,Anatomy
UBERON:0001844,cochlea,Anatomy
UBERON:0001846,internal ear,Anatomy
UBERON:0001855,cochlear duct of membranous labyrinth,Anatomy
UBERON:0001860,endolymphatic duct,Anatomy
UBERON:0001864,scala tympani,Anatomy
UBERON:0001866,sebum,Anatomy
UBERON:0001884,phrenic nerve,Anatomy
UBERON:0001886,choroid plexus,Anatomy
UBERON:0001887,internal capsule of telencephalon,Anatomy
UBERON:0001890,forebrain,Anatomy
UBERON:0001891,midbrain,Anatomy
UBERON:0001893,telencephalon,Anatomy
UBERON:0001895,metencephalon,Anatomy
UBERON:0001896,medulla oblongata,Anatomy
UBERON:0001905,pineal body,Anatomy
UBERON:0001908,optic tract,Anatomy
UBERON:0001910,medial forebrain bundle,Anatomy
